ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,T,T_lower,T_upper,T_t+1,T_t+1_lower,T_t+1_upper,T_t+2,T_t+2_lower,T_t+2_upper,T_t+3,T_t+3_lower,T_t+3_upper,V,V_lower,V_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,is_holiday,is_holiday_lower,is_holiday_upper,is_shortday,is_shortday_lower,is_shortday_upper,is_weekend,is_weekend_lower,is_weekend_upper,is_workday,is_workday_lower,is_workday_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,y
2020-02-04,122.77057938180717,34.191516853758834,40.666835304631256,122.7705793123805,122.77057944267062,-0.01664217030190663,-0.01664217030190663,-0.01664217030190663,-0.0027737392491506306,-0.0027737392491506306,-0.0027737392491506306,0.0014103581652587702,0.0014103581652587702,0.0014103581652587702,0.05824049339394689,0.05824049339394689,0.05824049339394689,0.06649328079608045,0.06649328079608045,0.06649328079608045,-0.7158027771957711,-0.7158027771957711,-0.7158027771957711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.6949051386968437,-0.6949051386968437,-0.6949051386968437,0.0004427348601211625,0.0004427348601211625,0.0004427348601211625,0.020454903638806244,0.020454903638806244,0.020454903638806244,0.0,0.0,0.0,37.4566728886006,40.214977263826434
2020-02-05,122.77023120852743,40.446629805121034,46.957714563732324,122.77023113766421,122.7702312711638,-0.020154653851857333,-0.020154653851857333,-0.020154653851857333,-0.0003564603331230618,-0.0003564603331230618,-0.0003564603331230618,0.01099059801055058,0.01099059801055058,0.01099059801055058,0.10393394095282854,0.10393394095282854,0.10393394095282854,0.06429962635487972,0.06429962635487972,0.06429962635487972,-0.6638179488667215,-0.6638179488667215,-0.6638179488667215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.644336145283541,-0.644336145283541,-0.644336145283541,-0.0006807048220098382,-0.0006807048220098382,-0.0006807048220098382,0.02016250840519036,0.02016250840519036,0.02016250840519036,0.0,0.0,0.0,43.66493367605578,46.80728866797306
2020-02-06,122.7698830352477,45.16989803918088,51.90168792418415,122.76988296294792,122.76988310045854,-0.002592236102103818,-0.002592236102103818,-0.002592236102103818,-0.0027737392491506306,-0.0027737392491506306,-0.0027737392491506306,0.019612813871313212,0.019612813871313212,0.019612813871313212,0.13439623932541628,0.13439623932541628,0.13439623932541628,0.051286272283075356,0.051286272283075356,0.051286272283075356,-0.6226016498714496,-0.6226016498714496,-0.6226016498714496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.6034754324315065,-0.6034754324315065,-0.6034754324315065,-0.0007288911000011161,-0.0007288911000011161,-0.0007288911000011161,0.019855108539944263,0.019855108539944263,0.019855108539944263,0.0,0.0,0.0,48.68127478098612,50.56998835355527
2020-02-07,122.76953486196798,46.29917583143156,53.11002808810375,122.76953478823164,122.76953492901372,-0.020154653851857333,-0.020154653851857333,-0.020154653851857333,-0.004949290273575442,-0.004949290273575442,-0.004949290273575442,0.025360957778488295,0.025360957778488295,0.025360957778488295,0.12931918959665167,0.12931918959665167,0.12931918959665167,0.07864212907247912,0.07864212907247912,0.07864212907247912,-0.6143126676778137,-0.6143126676778137,-0.6143126676778137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.5944928583722794,-0.5944928583722794,-0.5944928583722794,0.0002854177747316206,0.0002854177747316206,0.0002854177747316206,0.01953439153080266,0.01953439153080266,0.01953439153080266,0.0,0.0,0.0,49.78392316084143,50.27596036841021
2020-02-08,122.76918668868825,43.44048829572152,50.18095083156775,122.76918661351533,122.76918675713452,-0.03596082982663549,-0.03596082982663549,-0.03596082982663549,-0.006399657623191984,-0.006399657623191984,-0.006399657623191984,0.024402933793959115,0.024402933793959115,0.024402933793959115,0.09377984149529928,0.09377984149529928,0.09377984149529928,0.1070119250705935,0.1070119250705935,0.1070119250705935,-0.6384287870899755,-0.6384287870899755,-0.6384287870899755,0.0,0.0,0.0,0.0,0.0,0.0,-0.821263,-0.821263,-0.821263,0.0,0.0,0.0,-0.6194622764668618,-0.6194622764668618,-0.6194622764668618,-0.00023570267912513188,-0.00023570267912513188,-0.00023570267912513188,0.01920221330223888,0.01920221330223888,0.01920221330223888,0.0,0.0,0.0,46.71830682252828,46.313750142495344
2020-02-09,122.76883851540852,40.46427477039547,46.988600878561265,122.76883843879904,122.76883858525535,-0.0464982804764876,-0.0464982804764876,-0.0464982804764876,-0.006157929731589226,-0.006157929731589226,-0.006157929731589226,0.01769676590225485,0.01769676590225485,0.01769676590225485,0.06839459285147614,0.06839459285147614,0.06839459285147614,0.12320457980698708,0.12320457980698708,0.12320457980698708,-0.6646232716473587,-0.6646232716473587,-0.6646232716473587,0.0,0.0,0.0,0.0,0.0,0.0,-0.821263,-0.821263,-0.821263,0.0,0.0,0.0,-0.6453576362579352,-0.6453576362579352,-0.6453576362579352,0.0004050230178099206,0.0004050230178099206,0.0004050230178099206,0.018860612371613565,0.018860612371613565,0.018860612371613565,0.0,0.0,0.0,43.53903108497232,44.26285306395581
2020-02-10,122.76849034212879,38.072687821742214,45.07894882542225,122.76849026408274,122.76849041337616,-0.044742038701512256,-0.044742038701512256,-0.044742038701512256,-0.004465834490369929,-0.004465834490369929,-0.004465834490369929,0.012906645979608942,0.012906645979608942,0.012906645979608942,0.05824049339394689,0.05824049339394689,0.05824049339394689,0.1219392400126541,0.1219392400126541,0.1219392400126541,-0.6786524938056723,-0.6786524938056723,-0.6786524938056723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.659628551398301,-0.659628551398301,-0.659628551398301,0.0005121229484699769,0.0005121229484699769,0.0005121229484699769,0.01851181945890125,0.01851181945890125,0.01851181945890125,0.0,0.0,0.0,41.78688890039407,43.34804273115745
2020-02-11,122.76814216884907,36.99327168647498,43.90402112357626,122.76814208936648,122.76814224298737,-0.03244834627668479,-0.03244834627668479,-0.03244834627668479,-0.0032571950323561443,-0.0032571950323561443,-0.0032571950323561443,0.01099059801055058,0.01099059801055058,0.01099059801055058,0.05316344366518227,0.05316344366518227,0.05316344366518227,0.10488799820691322,0.10488799820691322,0.10488799820691322,-0.6891945014263949,-0.6891945014263949,-0.6891945014263949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.6705935054188937,-0.6705935054188937,-0.6705935054188937,0.0004427348601241236,0.0004427348601241236,0.0004427348601241236,0.018158261147377005,0.018158261147377005,0.018158261147377005,0.0,0.0,0.0,40.44062335807546,41.12386831299864
2020-02-12,122.76779399556933,38.65891321487169,45.54618356781674,122.76779391465018,122.76779407347023,-0.023667137401808036,-0.023667137401808036,-0.023667137401808036,-0.0027737392491506306,-0.0027737392491506306,-0.0027737392491506306,0.0100325740260214,0.0100325740260214,0.0100325740260214,0.06839459285147614,0.06839459285147614,0.06839459285147614,0.09606202986829719,0.09606202986829719,0.09606202986829719,-0.674482679905164,-0.674482679905164,-0.674482679905164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.6573608283747299,-0.6573608283747299,-0.6573608283747299,-0.0006807048220118448,-0.0006807048220118448,-0.0006807048220118448,0.01780255635244585,0.01780255635244585,0.01780255635244585,0.0,0.0,0.0,42.06505523690369,41.270656275298286
2020-02-13,122.7674458222896,38.28873147462645,45.07752656416342,122.76744573993389,122.76744590287616,-0.020154653851857333,-0.020154653851857333,-0.020154653851857333,-0.0025320113575478735,-0.0025320113575478735,-0.0025320113575478735,0.012906645979608942,0.012906645979608942,0.012906645979608942,0.06331754312271153,0.06331754312271153,0.06331754312271153,0.09212517359325353,0.09212517359325353,0.09212517359325353,-0.6768683025138312,-0.6768683025138312,-0.6768683025138312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.822531,-0.822531,-0.822531,-0.6601496890447957,-0.6601496890447957,-0.6601496890447957,-0.0007288910999992519,-0.0007288910999992519,-0.0007288910999992519,0.01744750456903487,0.01744750456903487,0.01744750456903487,0.0,0.0,0.0,41.72255463788132,41.2521434187952
